code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
601012.SH,隆基股份,43398988.45815187,6452129.406502075,241,9085880513.3,单晶硅棒、单晶硅片、硅棒、硅片加工服务,半导体材料,公司是全球最大的单晶硅生产制造商。公司始终专注于单晶硅棒、硅片的研发、生产和销售，经过十多年的发展，目前已成为*全球最大的太阳能单晶硅光伏产品制造商。产业覆盖隆基单晶硅、隆基乐叶光伏、隆基新能源、隆基清洁能源光伏全产业链。自创立以来，始终秉承“可靠、增值、愉悦”的企业文化理念，持续为社会提供优秀的能源与服务，依托长期积累形成的规模化生产优势、全产业链优势、创新优势、品牌优势和人才优势，致力于领先的光伏发电技术和产业，促进光伏发电“平价时代”的早日到来，从而改变人类利用能源的方式，改变世界能源的格局，改变人类的生活方式，实现世界文明可持续发展。
600438.SH,通威股份,20043656.95139718,3392122.740792531,241,8207920822.18,通威禽饲料、通威肉鸭、通威肉鸭养殖、通威兽药、通威水产饲料、通威特种饲料、通威永祥PVC、通威永祥三氯氢硅、通威鱼、通威渔药、通威猪饲料、永祥多晶硅、永祥烧碱,半导体太阳能光伏、高分子聚合物、禽畜养殖、肉制品、兽药、水产品、饲料、无机化工原料、有机化工原料,公司以饲料工业为主，同时涉足水产研究、水产养殖、动物保健、食品加工等相关领域的大型农业科技型上市公司，系农业产业化国家重点龙头企业。公司发展农业和新能源两大主业，其中农业主业以饲料工业为核心，全力延伸和完善水产及畜禽产业链条。同时，在新能源主业方面，公司已成为拥有从上游高纯晶硅生产、中游高效太阳能电池片生产、到终端光伏电站建设的垂直一体化光伏企业，已形成拥有自主知识产权的完整光伏新能源产业链条，并成为中国乃至全球光伏新能源产业发展的核心参与者和主要推动力量。近年来，并先后获得“中国驰名商标”、“中国名牌”等多项殊荣。
300274.SZ,阳光电源,18414479.887996845,3594268.654643154,241,1582707374.76,风能变流器、光伏逆变器,变电设备,公司是一家专注于太阳能、风能等可再生能源电源产品研发、生产、销售和服务的国家重点高新技术企业。公司是中国目前较大的光伏逆变器制造商、国内领先的风能变流器企业，拥有完全自主知识产权。主要产品有光伏逆变器、风能变流器、储能系统、电动车电机控制器，并致力于提供全球一流的光伏电站解决方案。公司先后承担多项国家重大科技计划项目，主持起草了多项国家标准，并取得了多项重要成果和专利。产品先后成功应用于上海世博会、北京奥运鸟巢、京沪高铁上海虹桥站、国家送电到乡工程、南疆铁路、青藏铁路等众多重大光伏和风力发电项目。公司先后荣获“国家重点新产品”、国家发改委“技术进步优秀项目奖”、“中国新能源企业30强”、“中国驰名商标”、“安徽著名商标”、全球新能源企业500强、国家级“守合同重信用”企业、安徽“最佳雇主”等荣誉，是国家级博士后科研工作站设站企业、国家高技术产业化示范基地、国家认定企业技术中心、《福布斯》“中国最具发展潜力企业”等。
002129.SZ,中环股份,13237387.034922857,2349741.2192282155,241,4029617597.1,中环6芯片、中环单晶硅棒、中环单晶硅片、中环高压硅堆、中环硅桥式整流器、中环硅整流二极管、中环区熔单晶、中环区熔硅片、中环特种高压硅堆、中环肖特基二极管、中环直拉单晶、中环直拉硅片,半导体材料、半导体分立器件、电子元器件,公司是天津中环电子信息集团有限公司控股的公众公司。公司致力于半导体节能产业和新能源产业，是一家集科研、生产、经营、创投于一体的国有控股高新技术企业。公司围绕“绿色低碳、可持续发展”，致力于半导体节能和新能源两大产业，制造管理上推行自动化、产品创新上实现差异化，在自身快速发展的前提下推动行业的整体发展，实现回报股东、奉献社会。公司产品广泛应用于智能电网传输、新能源汽车、高铁、风能发电逆变器、集成电路、消费类电子、航天航空、光伏发电等多个领域。2018年公司收购国电光伏90%股权，有利于充分发挥公司主营业务综合优势，增强上市公司持续经营能力。
002459.SZ,晶澳科技,11265760.558325382,1215984.770659751,241,2038628714.36,硅片、太阳能电池片、太阳能电池组件、太阳能光伏电站,半导体材料、半导体太阳能光伏、电子元器件,公司是实施产业链一体化战略的全球知名的高性能光伏产品制造商，产业链覆盖硅片、电池、组件及光伏电站。晶澳在全球拥有12个生产基地、20多个分支机构，产品足迹遍布100多个国家和地区，广泛应用于地面光伏电站以及工商业、住宅分布式光伏系统，凭借持续的技术创新、稳健的财务优势和发达的全球销售与服务网络，以及太阳能光伏电站的开发、建设、运营等，是工业与信息化部公布的第一批符合《光伏制造行业规范条件》的企业。
688599.SH,天合光能,11128859.071453208,1129777.3023817427,241,1804231711.5,电多多系列、多应用场景下的大型光伏电站系统产品——天合智能优配、多应用场景下的商用光伏系统、高功率基准组件系列、高可靠双玻组件系列、高性能双面组件系列、光伏电站工程建设管理、光伏电站销售业务、光伏发电及运维、美好芯系列、美学组件系列、能源云平台业务、阳光棚、智能微网及多能系统,光学设备,天合光能是行业领先的光伏智慧能源整体解决方案提供商，业务布局包括光伏产品、光伏系统及智慧能源三大板块。公司以光伏科学与技术国家重点实验室和新能源物联网产业创新中心等平台为依托，在核心技术及研发上具有领先优势。光伏组件是公司的主要产品，组件产品的客户主要为国内外光伏电站开发商和承包商以及分布式光伏系统的经销商。公司较早从事光伏产品的研发和生产业务，建立了强大的研发团队，积累了一批具有自主知识产权的核心技术，拥有光伏科学与技术国家重点实验室及国家企业技术中心等创新平台，长期保持行业领先的技术优势。在组件功率及电池片转换效率上18次突破世界记录。公司先后在瑞士苏黎世、美国加州圣何塞、新加坡、日本东京、墨西哥设立了区域总部，并在马德里、米兰、悉尼、北京、上海等地设立了办事处，产品覆盖全球100多个国家和地区。
603806.SH,福斯特,10892129.858743183,869686.1682033195,241,2196549310.84,福斯特EVA胶膜、福斯特背板、福斯特热熔网膜,其他化学品,公司是一家专业从事光伏封装材料研发与生产的省级高新技术企业。主营业务为EVA太阳能电池胶膜、共聚酰胺丝网状热熔胶膜、太阳能电池背板产品的研发、生产和销售，为光伏组件厂商提供一流的产品和超值的服务，与众多全球著名的光伏企业建立了深层次的供应合作关系。公司是国家火炬计划重点高新技术企业、“杭州市大企业集团”。公司是中国EVA太阳能电池胶膜领域的龙头企业，独立开发的热熔网膜及太阳能电池背板产品均在市场中占有优势地位。公司产品相继被列入国家火炬计划、国家重点新产品计划，并被评为“浙江省优秀工业新产品、新技术”一等奖。公司愿景是成为一家拥有品牌优势、可持续创新和发展的全球化、技术型的优秀企业。
300450.SZ,先导智能,10371623.125220526,1102543.25106639,241,1584673046.04,18650/21700卷绕机、EV全自动卷绕机、EV真空干燥炉、EV注液机、EV组装线、抽气热压机（DH机）、电池片自动串焊机、分容柜系统、赋能分选机、高速分切机、隔膜分切机、焊接卷绕一体机、焊接组装机、化成柜系统、汇流条焊接机、激光摸切机、极片分切机、老化机、喷金机、软包叠片机、软包注液机、四合一成型机、智能物流线、自动化管式PECVD上/下料机、自动化扩散上/下料机、自动化制绒/刻蚀清洗上/下料机、自动卷绕机、组件自动流水线,专用设备与零部件,公司是国家火炬计划重点高新技术企业、国家两化融合示范企业。公司是全球新能源装备的龙头企业，涵盖锂电池装备、光伏装备、3C检测装备、智能仓储物流系统、汽车智能产线等业务。公司专业从事高端自动化成套装备的研发设计、生产销售，为锂电池、光伏电池/组件、3C、薄膜电容器等节能环保及新能源产品的生产制造商提供高端全自动智能装备及解决方案。公司的产品性能达到国际先进水平，能根据客户要求研发各种个性化智能装备。公司拥有数百项授权专利，多项装备被认定为省高新技术产品、省首台套重大装备、省名牌产品等。
601877.SH,正泰电器,9611764.53604222,1194118.4321493777,241,3400637980.92,电机驱动、电力电子、电源电器、断路器、焊接设备、继电器、接触器、开关电器,低压电器类、专用设备与零部件,公司是低压电器市场的龙头企业，主要从事配电电器、终端电器、控制电器、电源电器、电子电器五大类低压电器产品的研发、生产和销售。公司历经由小及大的发展，建立了经验丰富的管理、研发、生产及营销团队，使“CHNT”、“正泰”成为了中国著名的低压电器品牌。2016年，公司经过重大资产重组注入光伏发电业务及资产，主营业务将由现有的低压电器及相关产品的研发、生产和销售扩展至光伏电站的开发、建设、运营、EPC工程总包及太阳能电池组件的制造及销售业务。公司被授予“全国产品和服务质量诚信示范企业”、“浙江省信用管理示范企业”、“温州市自营生产出口龙头企业”、“温州市外经工作先进单位”等荣誉称号。正泰新能源荣获全国分布式光伏应用创新金奖“最佳分布式光伏投资商金奖”，10.3MWp(兆瓦)分布式光伏电站项目获得“最佳分布式光伏EPC金奖”。
300316.SZ,晶盛机电,7760726.968944788,861510.7226348547,241,1711717145.99,单晶硅生长炉控制系统、多晶硅铸锭炉、全自动单晶硅生长炉,锅炉及附属设备,公司是一家以“发展绿色智能高科技制造产业”为使命的高端半导体装备和LED衬底材料制造的高新技术企业。公司主营产品为全自动单晶生长炉、多晶硅铸锭炉、区熔硅单晶炉、单晶硅滚圆机、单晶硅截断机、全自动硅片抛光机、双面研磨机、单晶硅棒切磨复合加工一体机、多晶硅块研磨一体机、叠片机、蓝宝石晶锭、蓝宝石晶片、LED灯具自动化生产线等。公司产品主要应用于太阳能光伏、集成电路、LED、工业4.0等具有较好市场前景的新兴产业。公司拥有多家子公司和研发中心，其中一个海外研发中心，拥有工业4.0方向的省级重点研究院、省级晶体装备研究院等研究平台、博士后工作站。
