code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
300896.SZ,爱美客,12362609.301908715,1406292.5986804978,241,957798548.01,聚对二氧环己酮面部埋植线（紧恋）、医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶（宝尼达）、医用羟丙基甲基纤维素-透明质酸钠溶液（逸美）、医用透明质酸钠-羟丙基甲基纤维素凝胶（逸美一加一）、注射用透明质酸钠复合溶液（嗨体）、注射用修饰透明质酸钠凝胶（爱芙莱、爱美飞）,医疗美容器械,公司是国内生物医用软组织修复材料领域的创新型领先企业。公司立足于生物医用材料的研发和转化，致力于重组蛋白和多肽等生物医药的开发，已成功实现注射类透明质酸钠系列产品及聚对二氧环己酮面部埋植线的产业化，并建立了医用几丁糖、聚乳酸等生物医用材料的产品技术转化平台，产品临床应用涵盖医疗美容、外科修复以及代谢疾病治疗等领域。公司是首家取得国家药监局批准用于面部软组织修复的注射用透明质酸钠医疗器械产品注册证书的国内企业。截至报告期末，公司已拥有五款获国家药监局批准的III类注射用透明质酸钠系列产品，为获得国家药监局批准的同类产品最多的企业。公司五款产品在配方组份、注射部位、注射体验等方面有所不同，能够满足多个细分市场的消费需求。此外，公司已于2019年5月取得聚对二氧环己酮面部埋植线的III类医疗器械注册证书，为首款取得国家药监局批准的面部埋植线产品。公司重视研发投入和产品开发，是国家级高新技术企业，建有生物可降解新材料北京市工程实验室。公司作为牵头单位参与了国家科学技术部“十三五”规划国家重点研发计划“新型颌面软硬组织修复材料研发”项目。截至报告期末，公司拥有32项专利，其中发明专利18项。
688223.SH,晶科能源,11510689.655172413,1052017.6133448277,58,1141409888.21,电池片、光伏组件、硅片,专用设备与零部件,公司以“改变能源结构，承担未来责任”为发展愿景，是一家以光伏产业技术为核心、全球知名的光伏产品制造商。公司现阶段主要从事太阳能光伏组件、电池片、硅片的研发、生产和销售以及光伏技术的应用和产业化，并以此为基础向全球客户提供高效、高质量的太阳能光伏产品，持续输送清洁能源，践行“碳中和、碳达峰”战略规划，助力并推动全球能源绿色转型。公司伴随着国家《可再生能源法》的颁布而于2006年成立，是国内较早规模化从事光伏技术研发和光伏产品开发、制造的企业。自成立以来，公司紧密围绕国家新能源战略规划，凭借前瞻性的战略布局、持续的研发投入和自主创新、优质的产品质量和广泛的市场销售网络布局，在全球范围内建立了良好的市场地位，光伏组件产销规模稳居世界前列，组件出货量于2020年末累计超过70GW。
688363.SH,华熙生物,8575854.949748889,578219.6457593361,241,782334573.48,cationHA 高亲和性透明质酸钠、HAPLEX透明质酸钠、Hyacolor 油分散透明质酸钠、Hyacross 透明质酸弹性体、Hyafactor- PGA  聚谷氨酸钠、Hyature 玻璃酸钠-医药外用级、Hyature 玻璃酸钠-注射级、Hyature透明质酸钠-医疗器械级、Hybloom 透明质酸钠，高分子/低分子/寡聚/酶切寡聚透明质酸钠，透明质酸钠1%溶液、Hymagic-AcHA 乙酰化透明质酸钠、γ-氨基丁酸、玻璃酸钠注射液、糙米发酵滤液、次抛原液、各类膏霜水乳、面膜、纳豆提取液、纳诺HA酶切寡聚透明质酸钠、喷雾、手膜、熙安颜TM  依克多因、熙敏修TM 超活透明质酸、医用透明质酸钠凝胶、注射用修饰透明质酸钠凝胶、注射用修饰透明质酸钠凝胶（含利多卡因）,美容产品、药品经销、原料药,公司是全球领先的、以透明质酸微生物发酵生产技术为核心的高新技术企业，透明质酸产业化规模位居国际前列，公司是国内最早实现微生物发酵法生产透明质酸的企业之一，透明质酸具有良好的保水性、润滑性、黏弹性、生物降解性及生物相容性等理化性能和生物活性，在医药(骨科、眼科、普外科、泌尿外科、胃肠科、耳鼻喉科、口腔科、整形外科、皮肤科等)、化妆品及功能性食品中应用十分广泛，公司持续开展微生物发酵法生产透明质酸技术研发，国内率先实现了透明质酸微生物发酵技术产业化的突破，改变了我国以动物组织提取法生产透明质酸且主要依靠进口的落后局面。通过菌种诱变和高通量筛选、发酵代谢流调控、多尺度过程优化、动态补料控制等技术，极大提升了透明质酸的生产规模和质量，显著降低了生产成本，推动了透明质酸在各个领域的应用。凭借透明质酸发酵技术的创新成就，多次获得国家和省科技进步奖励。
300033.SZ,同花顺,6075718.745228215,838850.0290248963,241,1911204641.07,同花顺大机构、同花顺金融服务网、同花顺决策家、同花顺深度分析系统(Level-2)、同花顺手机炒股软件、同花顺手机金融信息、同花顺网上行情交易系统、同花顺小财神,行业专用软件、互联网服务、无线增值业务,公司是国内领先的互联网金融信息服务提供商，公司在业内拥有完整的产业链，产品及服务覆盖产业链上下游。主要客户涵盖金融市场的各层次参与主体，包括券商、基金、私募、银行、保险、政府、科研院所、上市公司等机构客户和广大的个人投资者用户。主要业务是为国内外的各类机构客户提供软件产品及系统维护服务、金融数据服务、智能推广服务，为个人投资者提供金融资讯以及各种投资理财分析工具。
300595.SZ,欧普康视,5727571.960882431,662088.7738755187,241,554737175.25,华锥-圆锥角膜/散光镜、镜特舒冲洗液、梦戴维Classic-角膜塑形镜、梦戴维Plasma-角膜塑形镜、日戴维-硬性角膜接触镜,专用设备与零部件,公司是国内角膜塑形镜细分领域的领军企业，专注眼视光产品研发、生产、销售，以及眼视光服务，目前主要业务为非手术视力矫正。公司目前主要产品为硬性角膜接触镜类镜片及镜片护理产品，角膜塑形镜为主营产品中的核心。经过多年的专注发展，公司已拥有一系列与硬性角膜接触镜设计和生产相关的完全自主知识产权，同时取得了角膜塑形镜和硬性角膜接触镜产品注册证。公司先后获得了“安徽省医药质量管理奖”、“合肥市科技小巨人”的荣誉称号，并且为安徽省近视预防治疗研究会常务副理事长单位；自主研发生产和销售的产品获得了市场的广泛认可，公司主营产品“梦戴维”系列角膜塑形镜先后荣获得“安徽省著名商标”、“合肥市知名商标”。
688065.SH,凯赛生物,5419243.022925312,133793.14780497926,241,607892085.94,聚酰胺1010、聚酰胺1012、聚酰胺11、聚酰胺12、聚酰胺56、聚酰胺610、聚酰胺612、聚酰胺PA10T、生物法长链二元酸、生物法长链二元酸系列产品、生物基聚酰胺、生物基戊二胺、特种聚酰胺、通用型聚酰胺—聚酰胺66,高分子聚合物,"公司是一家以合成生物学等学科为基础，利用生物制造技术，从事新型生物基材料的研发、生产及销售的高新技术企业。公司目前实现商业化生产的产品主要聚焦聚酰胺产业链，为生物基聚酰胺以及可用于生物基聚酰胺生产的原料，包括DC12(月桂二酸)、DC13(巴西酸)等生物法长链二元酸系列产品和生物基戊二胺，是全球领先的利用生物制造规模化生产新型材料的企业之一,公司与杜邦、艾曼斯、赢创、诺和诺德等国际知名企业建立了良好的商务合作关系,公司生产的生物法长链二元酸系列产品在全球市场处于主导地位，于2018年被工信部评为制造业单项冠军,生物基戊二胺(目前阶段以内部使用为主，作为公司生物基聚酰胺生产单体；部分提供给下游客户进行应用开发)和生物基聚酰胺产品已完成中试，乌苏工厂的大规模产线正在进行设备调试，该等产品规模化生产有望解决国内双单体聚酰胺行业核心原材料依赖进口的瓶颈难题，为市场、客户提供来源于可再生生物质原料的新型“生物制造”新材料。"
300763.SZ,锦浪科技,5320183.189005407,848585.6020829875,241,473833499.69,锦浪科技分布式风力发电机组、锦浪科技风光混合型逆变器、锦浪科技风力并网逆变器、锦浪科技光伏并网逆变器,变电设备、发电机及附属设备,公司主要从事光伏并网逆变器、风力并网逆变器及分布式风力发电机组的研发、生产、销售和服务。公司作为知名的并网逆变器供应商，自成立以来，就注重自主研发，生产的产品具有质量高、性能好等优异的特点，随着技术的积累和研发实力的提升，公司在光伏逆变器、风力逆变器、风光混合逆变器、储能并网一体式混合逆变器等多个领域居于行业的前列，公司拥有多项核心技术，并注重知识产权保护，在行业内拥有较高的的技术影响力和一定的市场地位。众多优秀技术人才。公司研发团队被评为浙江省重点创新团队，建有企业院士工作站。截至2018年3月30日，公司已取得专利证书的专利51项，并获得了多项荣誉与奖项。公司自成立初即坚持全球化布局，凭借优异的产品性能和可靠的产品质量，公司在亚洲、欧洲、美洲及澳洲等多个国家和地区积累了众多优质客户，与公司形成了长期稳定的合作关系，除国内市场外，公司产品销往美国、英国、荷兰、澳大利亚、墨西哥、印度等全球多个国家和地区，赢得了客户的高度认可。
688005.SH,容百科技,5302879.787701481,933665.5461286306,241,911041341.99,三元正极材料-NCA、三元正极材料-NCM52、三元正极材料-NCM523、三元正极材料-NCM622、三元正极材料-NCM811,电子元器件,"宁波容百新能源科技股份有限公司(简称“容百科技”，股票代码：688005)是一家高科技新能源材料行业的跨国型集团公司，专业从事锂电池正极材料的研发、生产和销售，由中韩两支均拥有二十余年锂电池正极材料行业成功创业经验的团队共同打造,公司于2019年7月22日登陆上交所科创板，成为科创板首批25家上市公司之一。公司创始人白厚善先生为华南锂电论坛(国际)“十大风云人物”，中国化学与物理电源行业协会理事，第五届中国电池行业年度人物，中国电动汽车百人会理事。旗下成员包括：湖北容百锂电材料有限公司、贵州容百锂电材料有限公司、北京容百新能源科技有限公司、宁波容百锂电贸易有限公司、JS株式会社、韩国EMT株式会社六家控股子公司，合营韩国TMR株式会社。公司已同宁德时代、比亚迪、LG化学、天津力神、孚能科技等客户建立了长期合作关系，为该等国内外主流动力电池厂商的前沿高能量密度产品，配套提供产品性能稳定、制备技术成熟的三元正极材料，产品技术处于国际领先水平。公司是国内首家实现NCM811大批量产的正极材料生产企业。作为国家级高新技术企业，公司一直注重产品研发及科技创新。公司科研实力雄厚，研发团队拥有多名行业资深技术专家、海内外知名高校院所博士。硕士及以上学历科研人员300余名。建立省级科研中心及博士后工作站，承担火炬计划、星火计划、国家863计划等多项国家级科研项目。公司入选投中网“2017年核心竞争力产业最佳企业榜单”，跻身清科集团“2018中国最具投资价值企业50强”，入围科学技术部火炬中心与长城战略咨询等联合发布的中国“独角兽”榜单。"
688536.SH,思瑞浦,5060023.317312962,319655.27786307054,241,443535565.13,思瑞浦PM2.5模拟前端、思瑞浦RS232、思瑞浦RS485、思瑞浦标清视频驱动器、思瑞浦低噪声运算放大器、思瑞浦电源管理模拟芯片、思瑞浦高精度模数转换器、思瑞浦高精度数模转换器、思瑞浦高清视频驱动器、思瑞浦高速模数转换器、思瑞浦高速数模转换器、思瑞浦高速运算放大器、思瑞浦高压运算放大器、思瑞浦通用型比较器、思瑞浦通用型运算放大器、思瑞浦微功耗运算放大器、思瑞浦信号链模拟芯片、思瑞浦仪表放大器、思瑞浦音频放大器、思瑞浦自稳零运算放大器,集成电路、专用设备与零部件,公司始终坚持研发高性能、高质量和高可靠性的模拟集成电路产品，目前已拥有超过900款可供销售的产品型号。公司的产品以信号链模拟芯片为主，并逐渐向电源管理模拟芯片拓展，其应用范围涵盖信息通讯、工业控制、监控安全、医疗健康、仪器仪表和家用电器等众多领域。凭借领先的研发实力、可靠的产品质量和优质的客户服务，公司的模拟芯片产品已进入众多知名客户的供应链体系，其中不乏如中兴、海康威视、哈曼、科大讯飞等各行业的龙头企业。公司秉持“成为受尊重的中国半导体模拟芯片行业的领行者、全球半导体行业的影响者”的经营愿景，在日常经营中均以国际标准为准绳，逐渐建立并完善了一整套质量管理体系。公司与行业上游的晶圆制造商、封装测试厂商等供应商建立了高效的联动机制；在内部建立了完善的产品开发验证流程，不断开拓先进的模拟芯片技术；与行业下游的众多知名系统厂商、经销商等客户建立了长期良好的合作关系。未来，公司将继续加强技术积淀，保持在信号链模拟芯片领域的优势，挖掘在电源管理模拟芯片领域的潜力，打造全系列模拟芯片产品的技术创新平台，最终实现公司的经营愿景。
688099.SH,晶晨股份,4562735.996016597,336167.6385684647,241,811606706.2,AI音视频系统终端芯片、智能电视芯片、智能机顶盒芯片,半导体分立器件,晶晨半导体是全球无晶圆半导体系统设计的领导者，为智能机顶盒、智能电视、智能家居等多个产品领域，提供多媒体SoC芯片和系统级解决方案，技术先进性和市场覆盖率位居行业前列。同时积极布局智能影像、无线连接、汽车电子等新市场，助力开启AIoT新时代。晶晨半导体拥有丰富的SoC全流程设计经验，坚持超高清多媒体编解码和显示处理、人工智能、内容安全保护、系统IP等核心软硬件技术开发，整合业界领先的CPU/GPU技术和先进制程工艺，实现前所未有的成本、性能和功耗优化，提供基于多种开放平台的完整系统解决方案，帮助全球顶级运营商、OEM、ODM等客户快速部署市场。晶晨半导体创立于美国硅谷，目前在圣克拉拉、上海、深圳、北京、西安、成都、合肥、南京、青岛、台北、香港、首尔、孟买、伦敦、慕尼黑、印第安纳波利斯、米兰等地设有主体或代表处。
