code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
688396.SH,华润微,8951537.432,960743.8599,241,2267920400,AC-DC、BMS IC、FRD、IGBT、LED驱动IC、MEMS传感器、MOSFET、SBD、电机驱动IC、光电传感产品、计量计算MCU、人机交互MCU、通用型MCU、无线充电IC、线性稳压IC、烟雾传感器、音频功放IC,电子元器件,公司是中国领先的拥有芯片设计、晶圆制造、封装测试等全产业链一体化经营能力的半导体企业，产品聚焦于功率半导体、智能传感器与智能控制领域，为客户提供丰富的半导体产品与系统解决方案。公司产品设计自主、制造全程可控，在分立器件及集成电路领域均已具备较强的产品技术与制造工艺能力，形成了先进的特色工艺和系列化的产品线。公司是华润集团半导体投资运营平台，始终以振兴民族半导体产业为己任，曾先后整合了华科电子、中国华晶、上华科技等中国半导体先驱。公司及下属相关经营主体曾建成并运营中国第一条4英寸晶圆生产线、第一条6英寸晶圆生产线，承担了多项国家重点专项工程。经过多年发展及一系列整合，公司已成为中国本土具有重要影响力的综合性半导体企业，自2004年起连续被工信部评为中国电子信息百强企业。公司已获得包括国家技术发明二等奖、“九五”国家重点科技攻关优秀科技成果奖、教育部技术发明一等奖、教育部技术发明二等奖、省级科技进步一等奖及国家级及省部级研发项目在内的多项重要奖项。
688126.SH,沪硅产业-U,6772216.06,504322.2584,241,146112351.8,200mm及以下半导体硅片（含SOI硅片）、300mm半导体硅片,半导体材料,公司目前已成为中国少数具有一定国际竞争力的半导体硅片企业，产品得到了众多国内外客户的认可。公司目前已成为多家主流半导体企业的供应商，提供的产品类型涵盖300mm抛光片及外延片、200mm及以下抛光片、外延片及SOI硅片。公司主要从事半导体硅片的研发、生产和销售，是中国大陆规模最大的半导体硅片制造企业之一，是中国大陆率先实现300mm半导体硅片规模化销售的企业。硅产业集团自设立以来，坚持面向国家半导体行业的重大战略需求，坚持全球化布局，坚持紧跟国际前沿技术，突破了多项半导体硅片制造领域的关键核心技术，打破了我国300mm半导体硅片国产化率几乎为0%的局面，推进了我国半导体关键材料生产技术“自主可控”的进程。公司的技术水平和科技创新能力国内领先，公司及控股子公司拥有已获授权的专利300项，其中中国大陆105项，中国台湾地区及国外195项；公司及控股子公司拥有已获授权的发明专利273项。
605358.SH,立昂微,4932380.836,660729.1253,241,600303350.4,MOSFET芯片、半导体分立器件业务、肖特基二极管、肖特基二极管芯片,电子元器件,公司设立以来，始终专注于半导体材料、半导体芯片及相关产品的研发及制造领域。经过多年的发展，公司不仅在半导体硅片、半导体分立器件芯片及分立器件成品方面已经形成了自身的主打产品；同时，公司还坚持不懈的进行技术研发投入，通过承担国家科技重大专项、引进高端技术人才等多种方式，在半导体材料及芯片领域不断加强自身的研发实力与技术积累。公司先后承担并成功完成了科技部国家863计划、国家火炬计划、国家发改委高技术产业化示范工程、信息产业技术进步与产业升级专项等国家重大科研项目。此外，公司及其子公司多次荣获中国半导体创新产品和技术奖、浙江省技术发明一等奖等重要奖项。
003022.SZ,联泓新科,4901365.749,509410.8503,241,1090569756,环氧乙烷、环氧乙烷衍生物、聚丙烯专用料、乙烯-醋酸乙烯共聚物,高分子聚合物、无机化工原料、有机化工原料,公司是一家从事先进高分子材料及特种化学品的研发、生产与销售的高新技术企业。公司立足“以市场为导向、产销研一体化”的创新体系，现已建成国内领先的烷氧基化合成与应用实验室以及先进高分子材料研发实验室。经过多年的技术创新和生产实践，公司在先进高分子材料和特种化学品领域掌握了多项核心技术与核心生产工艺，拥有多项具有国际先进水平和国内领先水平的技术成果。截至本招股说明书签署之日，公司累计申请并获得发明专利15项，实用新型专利11项，正在申请的发明专利37项。报告期内，公司获评“高新技术企业”、“中国石油和化工民营企业百强”、“山东省化工新材料十强”、“山东省新材料领军企业50强”、“山东省企业技术中心”、“山东省特种精细化学品工程技术研究中心”等。公司为中国石化联合会新材料专业委员会副主任委员单位、中国科学院化工新材料技术创新与产业化联盟理事长单位，承担并参与了乙烯-醋酸乙烯酯(EVAC)树脂、混凝土外加剂用聚醚及其衍生物等多项新材料和新产品的国家和行业标准的起草和制订，为我国化工新材料行业的发展做出了积极贡献。
601636.SH,旗滨集团,4676649.515,1075926.509,241,4233527065,高新玻璃、特种玻璃、优质浮法玻璃,玻璃,公司主营业务为玻璃及制品生产、销售，玻璃加工，装卸劳务；主要产品分为三大类：优质浮法玻璃、在线LOW-E镀膜玻璃和LOW-E镀膜玻璃基片、深加工玻璃产品。公司自成立以来，在吸收原新光明公司的优秀技术和管理人才基础上，不断引进玻璃行业优秀的技术和管理人才加盟公司，并与英国玻璃咨询公司进行全面技术合作，对超白光伏玻璃基片生产技术和在线镀膜技术进行了联合开发，提高了技术研发与创新能力，在原料配料与称量技术、熔化技术、锡槽成型技术、退火窑技术、自动控制技术等方面有了较大的进步，企业规模迅速扩大，综合竞争能力快速加强。公司逐步从单一增加浮法玻璃规模的增长方式转变为生产在线LOW-E镀膜玻璃和提高产品附加值的增长模式，促使公司坚持技术创新、坚持走高端产品路线，形成向高科技、高质量、高附加值产品要效益的经营理念。
605117.SH,德业股份,3520536.58,501673.8424,241,578555272.8,钣金件、变频控制芯片、非标准除湿机、工业除湿机、烘被机（暖被机）、家用除湿机、空气净化器、空气源热泵热风机、控制器、冷凝器、模具、逆变器、太阳能空调、蒸发器、注塑件,专用设备与零部件,公司作为“核心部件+整机”的垂直一体化布局的生产企业，主要从事蒸发器、冷凝器和变频控制芯片等部件以及除湿机和空气源热泵热风机等环境电器产品的研发、生产和销售。公司建立了热交换器硬件技术平台和变频控制软件技术平台两大核心技术平台，拥有省级高新技术企业研究开发中心、SGS通标标准技术服务有限公司认可实验室、TüV南德意志集团合作实验室和中国科学院城市环境研究所室内空气净化技术联合研究中心。公司已经成为美的、奥克斯等知名品牌空调制造商的重要供应商，多次被美的家用空调事业部评为优秀供应商、金牌供应商，被奥克斯评为优秀供应商；同时，公司还被主要客户美的列为其变频控制解决方案的三家核心供应商之一，多次因技术上的先进性获得美的家用空调事业部颁发的领航奖，已成为国内少数可为变频空调整机企业提供变频控制器整体解决方案的专业供应商之一。公司的环境电器产品“Deye德业”品牌除湿机先后荣获了中国设计红星奖、金麦奖品质类大奖一等奖、浙江名牌产品和匠心品质奖等荣誉称号，2018年，德业品牌除湿机在天猫的交易指数、京东的成交金额指数位列行业第一。
300373.SZ,扬杰科技,2973502.481,1015833.471,241,768103337.9,扬杰科技Automobile Rectifier、扬杰科技Bridge Rectifier、扬杰科技Fast Recovery Rectifier、扬杰科技General Purpose Rectifier、扬杰科技High Efficient Rectifier、扬杰科技Module、扬杰科技Schottry Rectifier、扬杰科技Silicon Bidirectional、扬杰科技Small Singnal Diode、扬杰科技solar diode、扬杰科技Super Fast Rectifier、扬杰科技TVS、扬杰科技Zener Diode,电子元器件,公司集研发、生产、销售于一体，专业致力于功率半导体芯片及器件制造、集成电路封装测试等领域的产业发展。公司主营产品为各类电力电子器件芯片、功率二极管、整流桥、大功率模块、DFN/QFN产品、SGT MOS及碳化硅SBD、碳化硅JBS等，产品广泛应用于消费类电子、安防、工控、汽车电子、新能源等诸多领域。通过实行“扬杰”和“MCC”双品牌运作，不断扩大国内外销售、技术网络的辐射范围，为各大终端客户提供直接的专业产品和技术支持服务，持续提升公司国际化服务水平。公司连续数年被中国半导体行业协会评为中国半导体功率器件十强企业，获得全国工业品牌培育示范企业、2016年度国家知识产权优势企业、国家火炬计划重点高新技术企业、全国电子信息行业优秀创新企业、江苏省信息化和工业化融合试点企业等荣誉称号；建立了江苏省功率半导体芯片及器件封装工程技术研究中心、江苏省企业技术中心、江苏省功率半导体芯片及器件工程中心、江苏省企业博士后工作站、企业院士工作站；先后和国内多所著名高校建立了长期的项目开发合作关系。
300376.SZ,易事特,2141806.884,733597.1013,241,515403900.8,易事特“E机房”系统、易事特“E智”系统、易事特EPS应急电源、易事特OR系列电源、易事特UPSmart2000监控软件、易事特UPS不间断电源、易事特壁挂电源系统、易事特变频电源、易事特便携式充电机、易事特电力UPS系统、易事特电梯专用电源、易事特电站型并网逆变器、易事特高频开关电源系统、易事特高频整流模块、易事特挂墙式电源系统、易事特光伏阵列智能汇流箱、易事特户外电源系统、易事特环境动力监控系统、易事特机房精密配电、易事特机房专用精密空调、易事特机柜集成系统、易事特集成式光伏电站、易事特监控模块、易事特免维护铅酸蓄电池、易事特配电单元（PDU）、易事特嵌入式电源系统、易事特手动调压器、易事特太阳能充电控制器、易事特太阳能离网逆变器、易事特网络服务器机柜、易事特稳压电源、易事特一体化电源系统、易事特整流模块电源、易事特智能电池巡检仪、易事特专用逆变电源、易事特组串型并网逆变器、易事特组合式电源系统,变电设备、低压电器类、电子元器件、行业专用软件、监控器材及系统、空调器具、专用设备与零部件,公司长期致力于现代电力电子产业技术领域，积累了丰富的高频电能变换与控制等关键核心技术，系统布局高端UPS电源、大数据、云计算、逆变器、储能、充电桩等相关产业。公司主要产品有：UPS、高压直流电源、逆变器、充电桩、储能设备、精密空调、智能配电等产品的研发、制造、销售与服务；围绕智慧城市&大数据、智慧能源(含储能系统、微电网、充电桩、云计算、逆变器)及轨道交通(含监控、通信、供电)等战略新兴产业，为全球用户提供优质IDC数据中心、量子通信云计算系统、光储充一体化智慧能源系统、轨道交通智能供电系统等全方位解决方案，致力于成为电力电子技术及能效管理专家、全球智慧城市和智慧能源系统解决方案卓越供应商。公司已发展成为国家火炬计划重点高新技术企业、国家技术创新示范企业、国家级知识产权示范企业，是全球新能源500强企业，2018年荣获全国“五一劳动奖状”。公司先后荣获“国家级知识产权示范企业”、“中国专利优秀奖”、“广东省企业专利创新百强企业”等多项殊荣。
688680.SH,海优新材,1969792.422,288503.3483,241,252178402.4,海优新材白色EVA胶膜、海优新材背板、海优新材抗PID的EVA胶膜、海优新材普通EVA胶膜,塑料制品经销,公司是从事特种高分子薄膜研发、生产和销售的高新技术企业，是一家具有国际化研发、管理、营销和服务能力，并兼具中国制造优势的特种高分子薄膜材料“智”造商，公司以薄膜技术为核心，长期立足于新能源、新材料产业，致力于为客户提供中高端薄膜产品。目前公司主要产品为透明EVA胶膜、白色增效EVA胶膜、多层共挤POE胶膜及玻璃胶膜等薄膜产品，公司以光伏组件封装行业为着力点，依靠先进的技术和高品质的产品达到光伏组件封装材料不断提升的质量标准，并满足客户不断增长的市场需求。在聚焦下游光伏组件封装行业的同时，公司充分发挥高分子膜材料技术、膜装备技术以及膜工艺技术的扎实基础及创新能力，积极在建筑、交通、电子、半导体、大消费等行业探索和开发新型膜材料产品，以求逐步发展为多元化的技术领先型特种高分子薄膜生产企业。基于公司的技术优势，公司获得上海市科技小巨人企业、上海市专利试点企业、上海市专精特新企业、浦东新区十三五战略新兴产业(重点培育企业)、上海市科技进步二等奖、浦东新区科技进步奖、浦东新区优秀专利奖、浦东新区创新成就奖等荣誉。
600546.SH,山煤国际,1919445.293,801333.7212,241,4937738539,山煤国际动力煤、山煤国际肥煤、山煤国际褐煤、山煤国际焦煤、山煤国际炼焦煤、山煤国际贫煤、山煤国际气煤、山煤国际弱粘结煤、山煤国际瘦煤、山煤国际无烟煤、山煤国际长焰煤,煤制品,公司是山西煤炭进出口集团有限公司控股的A股上市公司(股票代码600546)，是在国内同行业中率先实现煤炭主营业务整体成功上市的企业，是山西省第28家A股上市公司、第10家煤焦能源类上市公司。经过多年的发展和积累，山煤国际现已形成覆盖各煤炭主产区、遍布重要运输线、占据主要出海口的相对独立完善的煤炭内外贸生产和销售体系。公司所属煤矿分布于大同、忻州、临汾、长治、晋城等地，煤矿地区分布广、品种齐全、煤质优良、产品入洗率高，矿井采掘系统先进、人员少、管理水平高。公司目前已形成动力煤、焦煤、无烟煤、半无烟煤四大煤炭生产基地，配有商品煤中心化验室，通过对各煤矿、选煤厂煤质管理工作严格考核，使公司煤炭产品长期保持高质量、低成本发展。
