code,name,mv_mean,amount_mean,num_days,profit,主营产品名称,主营产品类型,公司简介
601012.SH,隆基股份,43398988.46,6452129.407,241,9085880513,单晶硅棒、单晶硅片、硅棒、硅片加工服务,半导体材料,公司是全球最大的单晶硅生产制造商。公司始终专注于单晶硅棒、硅片的研发、生产和销售，经过十多年的发展，目前已成为*全球最大的太阳能单晶硅光伏产品制造商。产业覆盖隆基单晶硅、隆基乐叶光伏、隆基新能源、隆基清洁能源光伏全产业链。自创立以来，始终秉承“可靠、增值、愉悦”的企业文化理念，持续为社会提供优秀的能源与服务，依托长期积累形成的规模化生产优势、全产业链优势、创新优势、品牌优势和人才优势，致力于领先的光伏发电技术和产业，促进光伏发电“平价时代”的早日到来，从而改变人类利用能源的方式，改变世界能源的格局，改变人类的生活方式，实现世界文明可持续发展。
601633.SH,长城汽车,28531534.42,1314991.232,241,6726093884,风骏皮卡、哈弗SUV、教练车、腾翼轿车,轿车、轻型卡车,公司是全球知名的SUV制造企业，秉承“每天进步一点点”的企业理念，拥有先进的企业文化和管理团队，创建了独具特色的经营和管理模式，经营质量在国内汽车行业首屈一指。公司多次入选“中国企业500强”、“中国机械500强”、“中国制造500强”，连续多年上榜“福布斯亚太最佳上市公司”、“福布斯2000强”、“《财富》中国500强”、“BrandZ最具价值中国品牌100强”等，并被评为中国机电进出口商会的“推荐出口品牌”，也是商务部、发改委授予的“国家汽车整车出口基地企业”，首家成为国际氢能委员会成员的中国汽车企业。近年来，长城汽车的技术实力得到了社会的广泛肯定，被国家发改委、科技部等五部委联合认定为“国家认定企业技术中心”、“博士后科研工作站设站单位”、“国家创新型企业”。
600104.SH,上汽集团,22981707.86,846878.6681,241,24533097944,上海大众Fabia、上海大众GOL轿车、上海大众Octavia明锐、上海大众POLO劲情、上海大众POLO劲取、上海大众PSN微型双排座货车、上海大众Superb、上海大众别克GL8系列轿车、上海大众波罗、上海大众大众变速器、上海大众都市清风客车、上海大众君威系列轿车、上海大众凯越轿车、上海大众名爵轿车、上海大众帕萨特领驭、上海大众荣威轿车、上海大众赛宝多功能轻型客车、上海大众赛欧SRV轿车、上海大众赛欧轿车、上海大众桑塔纳3000型“超越者”、上海大众桑塔纳轿车、上海大众上海汇众、上海大众上汽PLN微型货车、上海大众上汽SPARK客车、上海大众上汽通用五菱6360客车、上海大众申沃、上海大众申沃城市客车、上海大众通用五菱、上海大众途安Touran、上海大众五菱变速器、上海大众五菱之光客车、上海大众幸福摩托、上海大众重庆红岩、上海汇众轿车底盘,传动设备、行驶底盘设备、轿车、客车、摩托车、轻型卡车、重型卡车与专用车,公司属于汽车制造行业，目前正努力把握产业发展趋势，加快创新转型，从传统的制造型企业，向为消费者提供移动出行服务与产品的综合供应商发展。公司主要业务包括整车(含乘用车、商用车)的研发、生产和销售，正积极推进新能源汽车、互联网汽车的商业化，并开展智能驾驶等技术研究和产业化探索；零部件(含动力驱动系统、底盘系统、内外饰系统，以及电池、电驱、电力电子等新能源汽车核心零部件和智能产品系统)的研发、生产、销售；物流、汽车电商、出行服务、节能和充电服务等汽车服务贸易业务；汽车相关金融、保险和投资业务；海外经营和国际商贸业务；并在产业大数据和人工智能领域积极布局。
600438.SH,通威股份,20043656.95,3392122.741,241,8207920822,通威禽饲料、通威肉鸭、通威肉鸭养殖、通威兽药、通威水产饲料、通威特种饲料、通威永祥PVC、通威永祥三氯氢硅、通威鱼、通威渔药、通威猪饲料、永祥多晶硅、永祥烧碱,半导体太阳能光伏、高分子聚合物、禽畜养殖、肉制品、兽药、水产品、饲料、无机化工原料、有机化工原料,公司以饲料工业为主，同时涉足水产研究、水产养殖、动物保健、食品加工等相关领域的大型农业科技型上市公司，系农业产业化国家重点龙头企业。公司发展农业和新能源两大主业，其中农业主业以饲料工业为核心，全力延伸和完善水产及畜禽产业链条。同时，在新能源主业方面，公司已成为拥有从上游高纯晶硅生产、中游高效太阳能电池片生产、到终端光伏电站建设的垂直一体化光伏企业，已形成拥有自主知识产权的完整光伏新能源产业链条，并成为中国乃至全球光伏新能源产业发展的核心参与者和主要推动力量。近年来，并先后获得“中国驰名商标”、“中国名牌”等多项殊荣。
600905.SH,三峡能源,18795811.94,3746346.356,213,5642366893,光伏发电、海上风电、陆上风电,变电设备、风电,公司围绕“风光三峡”和“海上风电引领者”的战略目标，坚持规模和效益并重，实施差异化竞争和成本领先战略，努力打造产业结构合理、资产质量优良、经济效益显著、管理水平先进的世界一流新能源公司。公司业务分布范围广，布局合理，集中连片规模化开发海上风电格局基本形成。公司紧紧围绕“风光三峡”和“海上风电引领者”战略，截至2019年12月31日，三峡新能源陆上风电项目遍及内蒙古、新疆、云南等22个省区；海上风电项目全力推进广东、福建、江苏、辽宁、山东等地前期工作，不断巩固海上风电集中连片规模化开发优势；光伏项目遍及甘肃、青海、河北等18个省区。
300274.SZ,阳光电源,18414479.89,3594268.655,241,1582707375,风能变流器、光伏逆变器,变电设备,公司是一家专注于太阳能、风能等可再生能源电源产品研发、生产、销售和服务的国家重点高新技术企业。公司是中国目前较大的光伏逆变器制造商、国内领先的风能变流器企业，拥有完全自主知识产权。主要产品有光伏逆变器、风能变流器、储能系统、电动车电机控制器，并致力于提供全球一流的光伏电站解决方案。公司先后承担多项国家重大科技计划项目，主持起草了多项国家标准，并取得了多项重要成果和专利。产品先后成功应用于上海世博会、北京奥运鸟巢、京沪高铁上海虹桥站、国家送电到乡工程、南疆铁路、青藏铁路等众多重大光伏和风力发电项目。公司先后荣获“国家重点新产品”、国家发改委“技术进步优秀项目奖”、“中国新能源企业30强”、“中国驰名商标”、“安徽著名商标”、全球新能源企业500强、国家级“守合同重信用”企业、安徽“最佳雇主”等荣誉，是国家级博士后科研工作站设站企业、国家高技术产业化示范基地、国家认定企业技术中心、《福布斯》“中国最具发展潜力企业”等。
600406.SH,国电南瑞,18172316.26,1039940.343,241,5642448312,国电南瑞AGC自动发电控制软件包、国电南瑞变电站自动化系统、国电南瑞电力市场、国电南瑞电网调度自动化、国电南瑞轨道交通自动化、国电南瑞能量管理系统、国电南瑞农电自动化、国电南瑞配网自动化、国电南瑞实时分布监控系统、国电南瑞市政及工业控制自动化,行业专用软件、继电保护及调度自动化,"公司作为专业从事电力自动化软硬件开发和系统集成服务的提供商，主要从事电网调度自动化、变电站自动化、火电厂及工业控制自动化系统的软硬件开发和系统集成服务。公司是国家火炬计划软件产业基地-南京软件园“骨干企业”、“江苏省首批软件企业”、“国家规划布局内重点软件企业”。公司建立了遍布全国的营销网络和精干的销售队伍，通过技术合作、共同开发等方式与重要客户构筑了以产品为纽带的合作关系，公司的自动化产品涉足电力、石化、市政、轨道交通等多个领域。2017年公司通过重大资产重组,拥有普瑞特高压、设计公司等100%股权，本公司将新增继电保护及柔性输电、电力信息通信等领域的业务，业务布局进一步完善，业务协同进一步加强，行业地位进一步巩固，整体价值得到有效提升。"
000792.SZ,盐湖股份,17178006.67,3828424.184,174,4478386640,盐桥氯化钾,钾肥,公司是青海省国有资产监督管理委员会管理的省属大型上市国有企业，主要从事化学原料及化学制品制造。公司坚持“以钾为主、综合利用、循环经济”的发展思想，从单一的钾肥向化肥产业、无机到有机、化工到精细化工、石油化工、天然气化工、煤炭化工等多重跨越，公司产品由单一氯化钾发展到氢氧化钾、碳酸钾、硝酸钾、氢氧化钠、碳酸钠、金属镁、氧化镁、氢氧化镁、碳酸锂、PVC、甲醇、尿素、聚丙烯、焦炭、水泥、编织袋等多种产品，涉及工业、农业、航天航空、建材、医药等领域。
002129.SZ,中环股份,13237387.03,2349741.219,241,4029617597,中环6芯片、中环单晶硅棒、中环单晶硅片、中环高压硅堆、中环硅桥式整流器、中环硅整流二极管、中环区熔单晶、中环区熔硅片、中环特种高压硅堆、中环肖特基二极管、中环直拉单晶、中环直拉硅片,半导体材料、半导体分立器件、电子元器件,公司是天津中环电子信息集团有限公司控股的公众公司。公司致力于半导体节能产业和新能源产业，是一家集科研、生产、经营、创投于一体的国有控股高新技术企业。公司围绕“绿色低碳、可持续发展”，致力于半导体节能和新能源两大产业，制造管理上推行自动化、产品创新上实现差异化，在自身快速发展的前提下推动行业的整体发展，实现回报股东、奉献社会。公司产品广泛应用于智能电网传输、新能源汽车、高铁、风能发电逆变器、集成电路、消费类电子、航天航空、光伏发电等多个领域。2018年公司收购国电光伏90%股权，有利于充分发挥公司主营业务综合优势，增强上市公司持续经营能力。
601985.SH,中国核电,11573142.99,1037136.719,241,8038084942,核电对外技术服务、核能电力生产及销售,核电,公司由中国核工业集团有限公司作为控股股东，联合中国长江三峡集团有限公司、中国远洋海运集团有限公司和航天投资控股有限公司共同出资设立的。公司经营范围涵盖核电项目的开发、投资、建设、运营与管理；清洁能源项目的投资、开发；输配电项目投资、投资管理；核电运行安全技术研究及相关技术服务与咨询业务；售电等领域。秦山核电30万千瓦核电机组是中国第一座依靠自己力量研究、设计、建造和管理的核电站。曾被国家领导人邹家华题词为“国之光荣”；吴邦国题词为“中国核电从这里起步”。公司曾荣获中央企业先进集体和中国证券“金紫荆”最佳上市公司、全国电力行业企业文化建设示范单位等称号。
